Speaker_ID;Top_Right_X;Top_Right_Y;Top_Right_Z;Top_Left_X;Top_Left_Y;Top_Left_Z;Bottom_Right_X;Bottom_Right_Y;Bottom_Right_Z;Bottom_Left_X;Bottom_Left_Y;Bottom_Left_Z;Center_X;Center_Y;Center_Z;C1_r0;C1_r1;C1_r2;C2_r3;C2_r4;C2_r5;C3_r6;C3_r7;C3_r8
23;4637;-212;3782;4551;-215;3955;4549;69;3961;4635;73;3786;4592;-72;3870;0.440956067647542;0.0205095845417461;-0.897294323701394;0.00704050792619596;-0.999752125519827;-0.0211215237785879;-0.897506182315305;0.00299625987982344;-0.440991695083411
24;4640;-2228;3799;4554;-2222;3972;4560;-1937;3967;4649;-1943;3793;4600;-2083;3882;0.455167052857932;-0.0306854192937932;-0.889877159520003;-0.021044730762408;-0.999624711214378;0.01753727563534;-0.890094746314583;0.0107449970383401;-0.455648864392115
25;3388;-4356;2027;3537;-4229;2018;3533;-4250;1734;3383;-4373;1745;3459;-4300;1882;-0.772027518982468;-0.633062565565624;0.0566153513920477;0.0140447741294465;0.0737350641795942;0.997178963190702;-0.635451570535221;0.770645188803684;-0.0480343052209031
26;2348;-4332;2049;2517;-4239;2043;2517;-4254;1759;2347;-4350;1764;2431;-4292;1904;-0.870468147092347;-0.491558483063913;0.0256020043262455;0;0.0527433855078337;0.998608098948317;-0.492224650590381;0.869256597918856;-0.0459114400309255
27;1347;-4304;2054;1532;-4245;2050;1531;-4261;1765;1346;-4322;1769;1438;-4282;1910;-0.949504846849679;-0.313079976528813;0.0205298345264796;0.00350323410209063;0.05605174563345;0.998421719095828;-0.313736603807852;0.948078249881611;-0.0521246154185892
28;330;-4274;2048;523;-4257;2048;525;-4276;1764;331;-4295;1764;427;-4274;1907;-0.995238288019902;-0.0974717910947326;0;-0.0070263729221709;0.0667505427606235;0.997744954948268;-0.0972519993291498;0.992994098413424;-0.0671175770018076
29;-661;-4183;2488;-470;-4211;2492;-470;-4258;2211;-662;-4233;2207;-565;-4221;2350;-0.991417644322481;0.12909083910449;-0.0206545342567183;0;0.16496814271662;0.986298895816389;0.130729548070731;0.977834545613766;-0.163552397309064
30;-1660;-4236;2040;-1480;-4307;2044;-1480;-4327;1760;-1662;-4257;1755;-1570;-4280;1901;-0.933038929624934;0.358861126778821;-0.0256329376270586;0;0.0702485576362978;0.997529518435429;0.35977526720813;0.930733934507199;-0.0655446432751549
31;-2681;-4190;2037;-2517;-4292;2039;-2523;-4305;1755;-2689;-4205;1753;-2602;-4247;1897;-0.8565353595452;0.51598515635253;-0.0103197031270506;0.0210999631307772;0.0457165867833506;0.99873158819012;0.515808374686441;0.855240987677525;-0.0500457150983326
32;-3655;-4231;2021;-3510;-4358;2029;-3510;-4376;1745;-3659;-4252;1737;-3583;-4303;1884;-0.767990224471317;0.639132804258009;-0.0412343744682587;0;0.0632533627425964;0.997997501049854;0.640461322425015;0.76645252601066;-0.0485779770006757
